"Analyte.Name","Analyte.Class","gene","r2","correlation","p-value","p.adj"
"Diacylglyceride..16.0_16.1.","Diglycerides","K22226",0.259908621292035,0.536021840129704,0.00328169441643042,0.0300849752084941
"Diacylglyceride..16.0_20.3.","Diglycerides","K09007",0.652247254754228,-0.82184595339026,9.40174323693932e-05,0.0148155617303924
"Diacylglyceride..16.0_20.3.","Diglycerides","K13683",0.417657226381203,-0.675633094183366,0.00407117648373358,0.0328151929389046
"Diacylglyceride..16.0_20.3.","Diglycerides","K14445",0.549678514238307,-0.761380290408427,0.000611531523876411,0.019858556243101
"Diacylglyceride..16.0_20.3.","Diglycerides","K22226",0.347208397513104,-0.625082264729129,0.00962046851921164,0.0427944978958035
"Diacylglyceride..16.1_18.2.","Diglycerides","K00261",0.158477540656609,-0.428926825044521,0.0113676105972054,0.0453451046158957
"Diacylglyceride..16.1_18.2.","Diglycerides","K00880",0.192170502980148,-0.465456963325313,0.00553742956195297,0.0353378013741592
"Diacylglyceride..16.1_18.2.","Diglycerides","K03187",0.167058394904318,-0.438519155344652,0.00948050158149503,0.0426445475869988
"Diacylglyceride..17.0_18.1.","Diglycerides","K18320",0.16318449440454,-0.434214854684458,0.0102915039060064,0.0440437347257051
"Diacylglyceride..18.1_18.1.","Diglycerides","K09007",0.188038640984131,0.461132877434778,0.0060539845051337,0.0363986084122486
"Diacylglyceride..18.1_20.0.","Diglycerides","K00835",0.24350859724454,-0.530408491054125,0.0133783860724213,0.0483817300641548
"Diacylglyceride..18.1_20.0.","Diglycerides","K03652",0.372666472024742,-0.635636018821703,0.00195677719790419,0.0263726837269774
"Diacylglyceride..18.1_20.1.","Diglycerides","K06282",0.174406433245216,0.446569613964691,0.00810870406433878,0.040011802022393
"Diacylglyceride..18.1_20.3.","Diglycerides","K13529",0.247332515132989,0.520435753993789,0.00190406311828437,0.0262214591209219
"Diacylglyceride..18.2_18.3.","Diglycerides","K01684",0.161034981015545,-0.431808016841991,0.010770078877428,0.0447033672743693
"Diacylglyceride..18.2_18.3.","Diglycerides","K06179",0.167878385036036,-0.439424841753508,0.00931694919941659,0.0422774126988602
"Diacylglyceride..18.2_18.3.","Diglycerides","K07504",0.143396467823582,0.411526609852639,0.0156031946155999,0.0498841080878906
"Diacylglyceride..18.2_18.3.","Diglycerides","K07770",0.143751575987365,-0.411944775336624,0.0154877536892953,0.0498841080878906
"Diacylglyceride..18.2_18.3.","Diglycerides","K08965",0.214999014989126,0.488658289222457,0.0033640287742889,0.0304533131146153
"Diacylglyceride..18.2_20.0.","Diglycerides","K00835",0.204490529880053,-0.481582693749134,0.00704935391933688,0.0382195977146973
"Diacylglyceride..18.2_20.0.","Diglycerides","K01501",0.372004524215322,-0.627422936002256,0.000206467641572788,0.0171902316741799
"Diacylglyceride..18.2_20.0.","Diglycerides","K03666",0.325602154410859,-0.590641390807165,0.000589824362560167,0.0197263481256234
"Diacylglyceride..18.2_20.0.","Diglycerides","K13075",0.414309572283944,-0.659170534785442,7.45156121106361e-05,0.0148155617303924
"Diacylglyceride..18.2_20.0.","Diglycerides","K13895",0.193963191862746,-0.470911419013316,0.00862692417636959,0.0409811968020908
"Diacylglyceride..18.2_20.0.","Diglycerides","K15898",0.265292582585224,0.539098619101152,0.00211235105024581,0.0270744127877801
"Diacylglyceride..18.2_20.0.","Diglycerides","K17723",0.373575040397047,-0.628630178302801,0.000199025331939436,0.0171902316741799
"Diacylglyceride..18.2_20.0.","Diglycerides","K19431",0.185040290902371,0.461673423359816,0.0102239878106515,0.0440437347257051
"Diacylglyceride..18.2_20.4.","Diglycerides","K05311",0.178592514190285,-0.451952982202617,0.00827999808897519,0.0403064057916151
"Diacylglyceride..18.2_20.4.","Diglycerides","K05350",0.300812534795122,-0.568033575665008,0.000564285753950274,0.0196742919661769
"Diacylglyceride..18.2_20.4.","Diglycerides","K19426",0.207903670987748,-0.482344981594482,0.00447307266247961,0.0331540505920176
"Dihexosylceramide..d18.1.14.0.","Dihexosylceramides","K20344",0.164324185234925,0.435485585034981,0.0100461832990313,0.0437717902003633
"Dihexosylceramide..d18.1.18.0.","Dihexosylceramides","K05991",0.255096775857418,-0.526943641038997,0.00136552938902927,0.0229396768017076
"Dihexosylceramide..d18.1.18.0.","Dihexosylceramides","K15856",0.161066010782295,-0.431842856696509,0.0107630193290618,0.0447033672743693
"Dihexosylceramide..d18.1.20.0.","Dihexosylceramides","K15898",0.177862266021271,-0.450306041140127,0.00753186913744016,0.0392215200552333
"Dihexosylceramide..d18.1.24.0.","Dihexosylceramides","K11031",0.179890607810912,-0.452484704243378,0.00721197173434496,0.0387067487436166
"Dihexosylceramide..d18.1.24.1.","Dihexosylceramides","K03694",0.159987293970673,-0.430630031995459,0.0110110887357271,0.044788347425052
"Dihexosylceramide..d18.1.26.0.","Dihexosylceramides","K04562",0.338084429969649,-0.614020064795471,0.00671247764583807,0.0372434243575532
