PTID,Group,ids.edit,time,Methanobacteriaceae,Actinomycetaceae,Actinomycetales_noname,Corynebacteriaceae,Dermabacteraceae,Dietziaceae,Micrococcaceae,Propionibacteriaceae,Bifidobacteriaceae,Coriobacteriaceae,Bacteroidaceae,Porphyromonadaceae,Prevotellaceae,Rikenellaceae,Bacillaceae,Bacillales_noname,Staphylococcaceae,Carnobacteriaceae,Enterococcaceae,Lactobacillaceae,Leuconostocaceae,Streptococcaceae,Clostridiaceae,Clostridiales_Family_XI_Incertae_Sedis,Clostridiales_Family_XIII_Incertae_Sedis,Clostridiales_noname,Eubacteriaceae,Lachnospiraceae,Oscillospiraceae,Peptostreptococcaceae,Ruminococcaceae,Erysipelotrichaceae,Veillonellaceae,Fusobacteriaceae,Caulobacteraceae,Brucellaceae,Rhizobiaceae,Burkholderiales_noname,Sutterellaceae,Neisseriaceae,Desulfovibrionaceae,Campylobacteraceae,Aeromonadaceae,Enterobacteriaceae,Pasteurellaceae,Moraxellaceae,Pseudomonadaceae,Xanthomonadaceae,Verrucomicrobiaceae,Debaryomycetaceae,Saccharomycetales_noname,Myoviridae,Podoviridae,Siphoviridae,Herpesviridae,Adenoviridae,Baculoviridae,Retroviridae,Viruses_noname
CHO14,CONV,CHO14_4to5M,4to5M,0,0,0,0,0,13,7,0,1396,327,29255,997,2010,754,0,0,2,0,10,9,0,53,361,0,0,0,13850,26798,22,2067,18419,1132,1672,0,0,0,0,0,0,0,0,0,0,747,70,0,0,0,27,0,0,0,0,2,0,0,0,0,0
CHO19,CHOICE,CHO19_4to5M,4to5M,0,157,0,16,0,1,1,1,89976,1075,541,252,0,39,0,0,0,0,701,791,0,42,484,49,0,2,142,1071,0,495,842,103,82,0,0,0,0,0,0,0,200,0,0,2923,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0
CHO22,CONV,CHO22_4to5M,4to5M,0,0,12,0,0,1,2181,46,36704,21,392,10,0,11,0,0,291,0,1317,15,0,2654,75,0,0,0,105,122,0,0,189,15,737,0,0,0,0,0,0,0,0,0,0,54539,183,0,0,0,113,0,0,18,250,0,0,0,0,0,0
CHO24,CONV,CHO24_4to5M,4to5M,0,28,0,0,0,3,18,4,4768,0,68,1,0,0,0,0,2,0,59,431,0,213,40748,0,0,997,16,31,0,73,4010,2,41955,1,0,0,0,0,0,0,0,30,0,6426,93,0,0,0,12,0,0,0,11,0,0,0,0,0,0
CHO26,CHOICE,CHO26_4to5M,4to5M,0,134,0,0,0,3,38,0,23343,23,54,1,0,1,0,1,1,0,48,0,0,493,970,0,0,68,11,22,0,34,29,5837,2985,10,0,0,0,0,0,0,0,0,0,65879,1,3,0,0,11,0,0,0,0,0,0,0,0,0,0
CHO30,CONV,CHO30_4to5M,4to5M,0,0,0,0,0,4,206,4,38417,2747,736,0,2,10,0,21,0,16,0,0,0,335,26,0,0,7,3,11,0,189,31,91,40860,38,0,0,0,80,225,0,0,0,0,15905,32,0,0,0,5,0,0,0,0,0,0,0,0,0,0
CHO32,CONV,CHO32_4to5M,4to5M,0,20,0,1,0,2,42,28,59743,3392,48,0,4,1,0,8,3,10,355,4,0,164,892,2,0,55,5,8880,0,1001,324,0,760,0,0,0,0,0,0,0,0,0,0,24250,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
CHO33,CONV,CHO33_4to5M,4to5M,0,0,0,0,0,3,185,0,12870,296,2992,772,16,4,0,16,0,0,5,0,0,1040,11,0,0,0,42,53,0,0,111,0,972,0,0,0,0,0,0,0,0,0,0,80574,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
CHO34,CONV,CHO34_4to5M,4to5M,0,1,0,0,0,6,0,0,83900,3,3962,0,3,0,0,11,5,0,7,1,0,490,66,0,0,0,3,4132,0,0,36,244,3698,0,0,0,0,0,849,0,0,0,0,2440,141,0,0,0,4,0,0,0,0,0,0,0,0,0,0
CHO36,CHOICE,CHO36_4to5M,4to5M,0,20544,0,0,0,34,2158,2516,42536,197,735,22,90,11,0,662,1325,6,5,271,0,12478,38,9,0,0,65,382,0,0,333,1,2409,31,0,0,0,0,0,0,0,0,0,7955,5023,0,0,0,86,0,0,77,0,0,0,0,0,0,0
CHO42,CHOICE,CHO42_4to5M,4to5M,0,455,0,2,0,8,90,9,11303,3883,39818,9102,14,3,0,0,9,3,28,352,0,176,6002,1,0,934,18,6598,1,1090,311,999,5253,0,0,0,0,0,0,0,0,0,0,13086,0,0,0,0,393,0,10,0,51,0,0,0,0,0,0
CHO46,CHOICE,CHO46_4to5M,4to5M,0,0,0,4,0,2,220,0,3673,4246,41254,0,8,1,0,2,67,0,1,1,0,162,511,0,0,57,6,17,0,0,885,1,415,0,0,0,0,0,0,0,0,0,0,48459,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
CHO47,CHOICE,CHO47_4to5M,4to5M,0,421,0,2,0,2,33,1,40088,198,37,0,21,1,0,1,9,0,1580,0,0,111,3,0,0,0,3,6,0,0,21,0,2754,0,0,0,0,0,0,0,0,0,0,54580,125,0,0,0,4,0,0,0,0,0,0,0,0,0,0
CHO50,CHOICE,CHO50_4to5M,4to5M,0,15,0,0,0,3,19,4,80202,1382,67,1,6,1,0,0,1,0,18,1299,0,126,1926,0,0,39,7,1905,0,2,30,744,8704,0,0,0,0,0,0,0,0,0,0,3312,181,0,0,0,7,0,0,0,0,0,0,0,0,0,0
CHO56,CONV,CHO56_4to5M,4to5M,0,224,0,0,0,2,36,0,38501,12,41706,0,6,0,0,0,0,0,222,1478,0,46,607,0,0,0,7,2686,0,0,24,0,2351,0,0,0,0,0,0,0,0,0,0,12052,35,0,0,0,4,0,0,0,0,0,0,0,0,0,0
